ID	C1	C2	C3	C4
ASV1	5	0	0	0
ASV2	0	0	0	8
ASV3	21	0	0	0
ASV4	0	0	0	2
ASV5	0	0	0	12
ASV6	9921	8505	0	0
ASV7	1647	0	0	0
ASV8	0	0	0	8
ASV9	0	0	0	4
ASV10	2	0	0	0
ASV11	0	0	0	5
ASV12	0	0	0	5
ASV13	0	13	0	0
ASV14	4	0	0	22
ASV15	0	0	0	2
ASV16	0	0	0	156
ASV17	68	0	0	0
ASV18	0	0	0	3
ASV19	0	0	0	4
ASV20	10	0	0	0
ASV21	6786	1815	1221	16
ASV22	0	0	195	0
ASV23	1169	212	0	0
ASV24	264	0	0	2105
ASV25	0	0	0	741
ASV26	0	0	0	66
ASV27	0	0	0	62
ASV28	313	0	0	0
ASV29	223	0	131	3248
ASV30	455	0	0	917
ASV31	0	0	0	4
ASV32	0	0	0	18
ASV33	480	0	0	0
ASV34	8	0	0	0
ASV35	65	0	0	17767
ASV36	49	0	0	266
ASV37	7	0	0	0
ASV38	24	0	0	44
ASV39	0	0	11	0
ASV40	138	0	0	1543
ASV41	105	0	0	57
ASV42	33	0	0	0
ASV43	0	0	0	4
ASV44	198	0	0	975
ASV45	0	0	0	2
ASV46	150	0	0	0
ASV47	9141	0	0	0
ASV48	0	0	0	1
ASV49	0	0	0	1
ASV50	0	0	0	1
ASV51	11	0	0	0
ASV52	0	0	0	4
ASV53	784	78	0	2744
ASV54	0	22032	31442	1253
ASV55	295	0	0	930
ASV56	624	345	0	0
